date,home_team,away_team,competition,neutral,home_confederation,away_confederation,home_fifa_rank,away_fifa_rank,tournament_stage,home_form_last5,away_form_last5,home_goals_for_last5,away_goals_for_last5,home_goals_against_last5,away_goals_against_last5,home_rest_days,away_rest_days,home_elo_pre,away_elo_pre,elo_diff_home_away,elo_win_prob,form_diff_home_away,goal_balance_diff,rank_diff,competition_weight,is_same_confederation,home_score,away_score,target,match_weight
2010-01-02,IR Iran,Korea DPR,International Friendly,1,AFC,AFC,31,75,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.5,0.0,0.0,-44,1,1,1,0,H,0.003579
2010-01-02,Qatar,Mali,International Friendly,0,AFC,CAF,76,56,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.6400649998028851,0.0,0.0,20,1,0,0,0,D,0.003579
2010-01-02,Syria,Zimbabwe,International Friendly,1,AFC,CAF,75,79,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.5,0.0,0.0,-4,1,0,6,0,H,0.003579
2010-01-02,Yemen,Tajikistan,International Friendly,0,AFC,AFC,75,75,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.6400649998028851,0.0,0.0,0,1,1,0,1,A,0.003579
2010-01-03,Angola,Gambia,International Friendly,1,CAF,CAF,75,91,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.5,0.0,0.0,-16,1,1,1,1,D,0.003583
2010-01-04,Egypt,Mali,International Friendly,1,CAF,CAF,42,56,Unknown,1.5,1.0,1.0,0.0,1.0,0.0,7,2,1500.0,1505.6025999921153,-5.602599992115302,0.49193790927968084,0.5,0.0,-14,1,1,1,0,H,0.003586
2010-01-04,Tanzania,Côte d'Ivoire,International Friendly,0,CAF,CAF,88,33,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.6400649998028851,0.0,0.0,55,1,1,0,1,A,0.003586
2010-01-05,Ghana,Malawi,International Friendly,1,CAF,CAF,43,93,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.5,0.0,0.0,-50,1,1,0,0,D,0.00359
2010-01-06,Kuwait,Australia,AFC Asian Cup Qualification,0,AFC,AFC,75,27,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.6400649998028851,0.0,0.0,48,2,1,2,2,D,0.003593
2010-01-06,Yemen,Japan,AFC Asian Cup Qualification,0,AFC,AFC,75,15,Unknown,0.0,1.5,0.0,1.0,1.0,1.0,4,7,1474.3974000078847,1500.0,-25.6025999921153,0.6054594960028391,-1.5,-1.0,60,2,1,2,3,A,0.003593
