team,squad_avg_rating,top_player_rating,attack_rating,defense_rating,gk_rating
Albania,69.9,77.9,70.9,68.9,69.9
Andorra,68.0,76.0,69.0,67.0,68.0
Armenia,64.3,72.3,65.3,63.3,64.3
Austria,79.1,87.1,80.1,78.1,79.1
Azerbaijan,68.0,76.0,69.0,67.0,68.0
Belarus,68.0,76.0,69.0,67.0,68.0
Belgium,83.3,91.3,84.3,82.3,83.3
Bosnia and Herzegovina,66.5,74.5,67.5,65.5,66.5
Bulgaria,68.0,76.0,69.0,67.0,68.0
Croatia,82.2,90.2,83.2,81.2,82.2
Cyprus,68.0,76.0,69.0,67.0,68.0
Czechia,75.8,83.8,76.8,74.8,75.8
Denmark,79.7,87.7,80.7,78.7,79.7
England,84.2,92.2,85.2,83.2,84.2
Estonia,68.0,76.0,69.0,67.0,68.0
Faroe Islands,68.0,76.0,69.0,67.0,68.0
Finland,67.1,75.1,68.1,66.1,67.1
France,84.7,92.7,85.7,83.7,84.7
Georgia,66.0,74.0,67.0,65.0,66.0
Germany,82.8,90.8,83.8,81.8,82.8
Gibraltar,68.0,76.0,69.0,67.0,68.0
Greece,70.7,78.7,71.7,69.7,70.7
Hungary,76.9,84.9,77.9,75.9,76.9
Iceland,66.2,74.2,67.2,65.2,66.2
Ireland,68.0,76.0,69.0,67.0,68.0
Israel,67.4,75.4,68.4,66.4,67.4
Italy,82.5,90.5,83.5,81.5,82.5
Kazakhstan,68.0,76.0,69.0,67.0,68.0
Kosovo,68.0,76.0,69.0,67.0,68.0
Latvia,68.0,76.0,69.0,67.0,68.0
Liechtenstein,68.0,76.0,69.0,67.0,68.0
Lithuania,68.0,76.0,69.0,67.0,68.0
Luxembourg,68.0,76.0,69.0,67.0,68.0
Malta,68.0,76.0,69.0,67.0,68.0
Moldova,68.0,76.0,69.0,67.0,68.0
Montenegro,64.8,72.8,65.8,63.8,64.8
Netherlands,83.0,91.0,84.0,82.0,83.0
North Macedonia,64.6,72.6,65.6,63.6,64.6
Northern Ireland,68.0,76.0,69.0,67.0,68.0
Norway,70.2,78.2,71.2,69.2,70.2
Poland,78.6,86.6,79.6,77.6,78.6
Portugal,83.6,91.6,84.6,82.6,83.6
Romania,74.9,82.9,75.9,73.9,74.9
Russia,68.0,76.0,69.0,67.0,68.0
San Marino,68.0,76.0,69.0,67.0,68.0
Scotland,76.3,84.3,77.3,75.3,76.3
Serbia,78.8,86.8,79.8,77.8,78.8
Slovakia,74.6,82.6,75.6,73.6,74.6
Slovenia,68.8,76.8,69.8,67.8,68.8
Spain,84.4,92.4,85.4,83.4,84.4
Sweden,70.4,78.4,71.4,69.4,70.4
Switzerland,80.5,88.5,81.5,79.5,80.5
Turkey,78.3,86.3,79.3,77.3,78.3
Ukraine,77.2,85.2,78.2,76.2,77.2
Wales,68.0,76.0,69.0,67.0,68.0
Argentina,85.0,93.0,86.0,84.0,85.0
Bolivia,71.0,79.0,72.0,70.0,71.0
Brazil,83.9,91.9,84.9,82.9,83.9
Chile,74.1,82.1,75.1,73.1,74.1
Colombia,81.4,89.4,82.4,80.4,81.4
Ecuador,79.4,87.4,80.4,78.4,79.4
Paraguay,72.7,80.7,73.7,71.7,72.7
Peru,74.4,82.4,75.4,73.4,74.4
Uruguay,80.8,88.8,81.8,79.8,80.8
Venezuela,75.2,83.2,76.2,74.2,75.2
Antigua and Barbuda,68.0,76.0,69.0,67.0,68.0
Aruba,68.0,76.0,69.0,67.0,68.0
Bahamas,68.0,76.0,69.0,67.0,68.0
Barbados,68.0,76.0,69.0,67.0,68.0
Belize,68.0,76.0,69.0,67.0,68.0
Bermuda,68.0,76.0,69.0,67.0,68.0
Canada,77.4,85.4,78.4,76.4,77.4
Cayman Islands,68.0,76.0,69.0,67.0,68.0
Costa Rica,71.3,79.3,72.3,70.3,71.3
Cuba,62.3,70.3,63.3,61.3,62.3
Curaçao,68.0,76.0,69.0,67.0,68.0
Dominican Republic,68.0,76.0,69.0,67.0,68.0
El Salvador,62.6,70.6,63.6,61.6,62.6
Grenada,68.0,76.0,69.0,67.0,68.0
Guatemala,68.0,76.0,69.0,67.0,68.0
Guyana,68.0,76.0,69.0,67.0,68.0
Haiti,68.0,76.0,69.0,67.0,68.0
Honduras,71.6,79.6,72.6,70.6,71.6
Jamaica,68.5,76.5,69.5,67.5,68.5
Mexico,80.2,88.2,81.2,79.2,80.2
Nicaragua,68.0,76.0,69.0,67.0,68.0
Panama,72.4,80.4,73.4,71.4,72.4
Puerto Rico,68.0,76.0,69.0,67.0,68.0
Saint Kitts and Nevis,68.0,76.0,69.0,67.0,68.0
Saint Lucia,68.0,76.0,69.0,67.0,68.0
Saint Vincent and the Grenadines,68.0,76.0,69.0,67.0,68.0
Suriname,68.0,76.0,69.0,67.0,68.0
Trinidad and Tobago,62.0,70.0,63.0,61.0,62.0
United States,81.6,89.6,82.6,80.6,81.6
US Virgin Islands,68.0,76.0,69.0,67.0,68.0
Algeria,73.0,81.0,74.0,72.0,73.0
Angola,68.0,76.0,69.0,67.0,68.0
Benin,63.4,71.4,64.4,62.4,63.4
Botswana,68.0,76.0,69.0,67.0,68.0
Burkina Faso,69.0,77.0,70.0,68.0,69.0
Burundi,68.0,76.0,69.0,67.0,68.0
Cameroon,72.1,80.1,73.1,71.1,72.1
Cape Verde Islands,65.7,73.7,66.7,64.7,65.7
Central African Republic,68.0,76.0,69.0,67.0,68.0
Chad,68.0,76.0,69.0,67.0,68.0
Comoros,60.1,68.1,61.1,59.1,60.1
Congo,62.9,70.9,63.9,61.9,62.9
DR Congo,69.3,77.3,70.3,68.3,69.3
Djibouti,68.0,76.0,69.0,67.0,68.0
Egypt,73.5,81.5,74.5,72.5,73.5
Equatorial Guinea,68.0,76.0,69.0,67.0,68.0
Eritrea,68.0,76.0,69.0,67.0,68.0
Eswatini,68.0,76.0,69.0,67.0,68.0
Ethiopia,59.5,67.5,60.5,58.5,59.5
Gabon,68.0,76.0,69.0,67.0,68.0
Gambia,59.8,67.8,60.8,58.8,59.8
Ghana,73.2,81.2,74.2,72.2,73.2
Guinea,67.9,75.9,68.9,66.9,67.9
Guinea-Bissau,68.0,76.0,69.0,67.0,68.0
Côte d'Ivoire,76.0,84.0,77.0,75.0,76.0
Kenya,68.0,76.0,69.0,67.0,68.0
Lesotho,68.0,76.0,69.0,67.0,68.0
Liberia,68.0,76.0,69.0,67.0,68.0
Libya,61.2,69.2,62.2,60.2,61.2
Madagascar,68.0,76.0,69.0,67.0,68.0
Malawi,59.2,67.2,60.2,58.2,59.2
Mali,69.6,77.6,70.6,68.6,69.6
Mauritania,68.0,76.0,69.0,67.0,68.0
Mauritius,68.0,76.0,69.0,67.0,68.0
Morocco,81.9,89.9,82.9,80.9,81.9
Mozambique,61.8,69.8,62.8,60.8,61.8
Namibia,68.0,76.0,69.0,67.0,68.0
Niger,68.0,76.0,69.0,67.0,68.0
