team,confederation,fifa_rank
Albania,UEFA,66
Argentina,CONMEBOL,1
Australia,AFC,36
Austria,UEFA,23
Belgium,UEFA,3
Brazil,CONMEBOL,5
Cameroon,CAF,43
Canada,CONCACAF,47
Chile,CONMEBOL,16
Colombia,CONMEBOL,12
Costa Rica,CONCACAF,31
Croatia,UEFA,10
Czechia,UEFA,42
Denmark,UEFA,21
Ecuador,CONMEBOL,44
Egypt,CAF,46
England,UEFA,4
Finland,UEFA,54
France,UEFA,2
Georgia,UEFA,74
Germany,UEFA,16
Hungary,UEFA,26
Iceland,UEFA,22
Italy,UEFA,9
Japan,AFC,24
Mexico,CONCACAF,13
Morocco,CAF,22
Netherlands,UEFA,7
Nigeria,CAF,48
Norway,UEFA,43
Panama,CONCACAF,55
Paraguay,CONMEBOL,35
Peru,CONMEBOL,25
Poland,UEFA,27
Portugal,UEFA,9
Romania,UEFA,46
Russia,UEFA,38
Saudi Arabia,AFC,51
Scotland,UEFA,30
Senegal,CAF,18
Serbia,UEFA,33
Slovakia,UEFA,49
Slovenia,UEFA,57
Korea Republic,AFC,28
Spain,UEFA,8
Sweden,UEFA,18
Switzerland,UEFA,19
Tunisia,CAF,21
Turkey,UEFA,40
United States,CONCACAF,16
Ukraine,UEFA,22
Uruguay,CONMEBOL,11
Venezuela,CONMEBOL,32
Wales,UEFA,17
