date,home_team,away_team,home_score,away_score,competition,neutral,home_confederation,away_confederation,home_fifa_rank,away_fifa_rank,tournament_stage
2022-11-22,Argentina,Saudi Arabia,1,2,FIFA World Cup,False,CONMEBOL,AFC,3,51,Group
2022-11-26,Argentina,Mexico,2,0,FIFA World Cup,True,CONMEBOL,CONCACAF,3,13,Group
2022-11-30,Poland,Argentina,0,2,FIFA World Cup,True,UEFA,CONMEBOL,26,3,Group
2022-12-03,Netherlands,USA,3,1,FIFA World Cup,True,UEFA,CONCACAF,8,16,Round of 16
2022-12-04,England,Senegal,3,0,FIFA World Cup,True,UEFA,CAF,5,18,Round of 16
2022-12-10,England,France,1,2,FIFA World Cup,True,UEFA,UEFA,5,4,Quarter-final
2023-03-24,France,Netherlands,4,0,UEFA Euro Qualification,False,UEFA,UEFA,4,8,Qualification
2023-03-25,Spain,Norway,3,0,UEFA Euro Qualification,False,UEFA,UEFA,10,43,Qualification
2023-06-15,Spain,Italy,2,1,UEFA Nations League,True,UEFA,UEFA,10,8,Semi-final
2023-06-18,Croatia,Spain,0,0,UEFA Nations League,True,UEFA,UEFA,7,10,Final
2023-09-12,Germany,France,2,1,International Friendly,False,UEFA,UEFA,15,2,Friendly
2023-10-17,England,Italy,3,1,UEFA Euro Qualification,False,UEFA,UEFA,4,9,Qualification
2023-11-21,Brazil,Argentina,0,1,FIFA World Cup Qualification,False,CONMEBOL,CONMEBOL,5,1,Qualification
2024-03-23,France,Germany,0,2,International Friendly,False,UEFA,UEFA,2,16,Friendly
2024-03-26,Spain,Brazil,3,3,International Friendly,False,UEFA,CONMEBOL,8,5,Friendly
