window_idx,train_start,train_end,test_start,test_end,n_train,n_test,model,accuracy,log_loss,brier_score,error
0,2010-01-02,2019-10-05,2019-10-05,2021-07-13,9379,1250,most_frequent,0.4904,11.733974,1.0192,
0,2010-01-02,2019-10-05,2019-10-05,2021-07-13,9379,1250,class_prior,0.4904,1.0435,0.62836,
0,2010-01-02,2019-10-05,2019-10-05,2021-07-13,9379,1250,elo_only,0.604,0.880954,0.517612,
0,2010-01-02,2019-10-05,2019-10-05,2021-07-13,9379,1250,logreg,0.5808,0.860517,0.508311,
0,2010-01-02,2019-10-05,2019-10-05,2021-07-13,9379,1250,xgboost,0.6128,0.835982,0.489389,
1,2010-01-02,2021-07-13,2021-07-13,2022-09-22,10629,1250,most_frequent,0.4768,12.047125,1.0464,
1,2010-01-02,2021-07-13,2021-07-13,2022-09-22,10629,1250,class_prior,0.4768,1.050759,0.63373,
1,2010-01-02,2021-07-13,2021-07-13,2022-09-22,10629,1250,elo_only,0.5808,0.913325,0.541176,
1,2010-01-02,2021-07-13,2021-07-13,2022-09-22,10629,1250,logreg,0.5584,0.909098,0.537391,
1,2010-01-02,2021-07-13,2021-07-13,2022-09-22,10629,1250,xgboost,0.6024,0.863274,0.506356,
2,2010-01-02,2022-09-22,2022-09-22,2023-11-19,11879,1250,most_frequent,0.484,11.881339,1.032,
2,2010-01-02,2022-09-22,2022-09-22,2023-11-19,11879,1250,class_prior,0.484,1.044692,0.629728,
2,2010-01-02,2022-09-22,2022-09-22,2023-11-19,11879,1250,elo_only,0.5664,0.930125,0.545315,
2,2010-01-02,2022-09-22,2022-09-22,2023-11-19,11879,1250,logreg,0.5752,0.922068,0.539475,
2,2010-01-02,2022-09-22,2022-09-22,2023-11-19,11879,1250,xgboost,0.6072,0.891721,0.52055,
3,2010-01-02,2023-11-19,2023-11-19,2024-11-19,13129,1250,most_frequent,0.4528,12.599746,1.0944,
3,2010-01-02,2023-11-19,2023-11-19,2024-11-19,13129,1250,class_prior,0.4528,1.066588,0.644789,
3,2010-01-02,2023-11-19,2023-11-19,2024-11-19,13129,1250,elo_only,0.58,0.92996,0.547987,
3,2010-01-02,2023-11-19,2023-11-19,2024-11-19,13129,1250,logreg,0.5704,0.930627,0.5485,
3,2010-01-02,2023-11-19,2023-11-19,2024-11-19,13129,1250,xgboost,0.588,0.89923,0.530537,
4,2010-01-02,2024-11-19,2024-11-19,2026-03-31,14379,1253,most_frequent,0.476457,12.055034,1.047087,
4,2010-01-02,2024-11-19,2024-11-19,2026-03-31,14379,1253,class_prior,0.476457,1.0509,0.633837,
4,2010-01-02,2024-11-19,2024-11-19,2026-03-31,14379,1253,elo_only,0.574621,0.884528,0.520546,
4,2010-01-02,2024-11-19,2024-11-19,2026-03-31,14379,1253,logreg,0.582602,0.87521,0.516408,
4,2010-01-02,2024-11-19,2024-11-19,2026-03-31,14379,1253,xgboost,0.612929,0.847418,0.496501,
